pa1_avg,pa1_min,pa1_max,pa2_avg,pa2_min,pa2_max,p3_avg,p3_min,p3_max,r3_avg,r3_min,r3_max,m3_avg,m3_min,m3_max,i3_avg,i3_min,i3_max,displacement_avg,displacement_min,displacement_max,label
2.760477544073617,2.5,3.17171723358895,2.5028913791519325,2.5,2.648727709079099,2.5,2.5,2.5,13.14488457461933,2.5,70.68771510816161,47.62026493748103,2.5,124.9331276133632,10.575523574782336,2.5,18.464818237472784,-0.17716307714107934,-0.22182928331074753,-0.1430070993919243,xsoft
2.883022674080807,2.5,3.8636522036016987,2.5019833954808,2.5,2.5505074241530163,2.8803237093052325,2.5,5.6281963979533245,41.485197898760404,2.5,126.23617163421095,35.44247369732217,2.5,109.59412858902895,11.353965984011717,2.5,22.359119188941065,-0.19736701456195094,-0.28501024227801885,-0.15078449562807386,xsoft
3.3055025752722575,2.5,4.54398283292284,2.5022731555870443,2.5,2.5294602202402845,3.5220585396568764,2.5,8.714016216052439,39.78689548317737,2.5,118.35767406145531,45.11632479686484,2.5,109.78312194666366,15.499580778037894,2.5,27.716643204815853,-0.17347445707964548,-0.25185706331000657,-0.14450999251651786,xsoft
3.4270735095541087,2.5,4.26075276231139,2.516713093513413,2.5,2.6947197472587723,2.5,2.5,2.5,39.62448514869713,2.5,98.25277297811589,41.956303625578826,2.5,114.79405706516108,13.820223368594542,2.5,27.685738055624768,-0.1686705883737167,-0.2514756958167297,0.0,xsoft
3.2232496170985536,2.5,5.461073413571892,2.53760381485145,2.5,2.7966071852065104,2.5,2.5,2.5,54.978332838524,2.5,123.49773554765814,62.442266959292674,2.5,154.23338132883518,6.080436192631611,2.5,11.630356001809416,-0.18596654216090985,-0.24480568236919614,-0.14270010076610867,xsoft
2.955841741366413,2.5,3.421831618343272,2.6259534943767533,2.5,3.435755679401949,3.9903520134198796,2.5,9.394185213757595,38.46875474087841,2.5,91.73176759527803,48.99319184444683,2.5,134.77214164139312,8.633067848002486,2.5,15.300290254564388,-0.17634263397510921,-0.24623663686507902,-0.13721501600974653,xsoft
3.1123136700902916,2.66407338644146,4.419386979737739,2.5121273932974897,2.5,2.6947197472587723,2.5,2.5,2.5,49.131489653853954,2.5,122.85122708929379,67.48750735957786,3.239696896658904,151.7613148100959,7.104207094316455,2.5,12.938149288229894,-0.19662509373739256,-0.26577509444125186,-0.16637432260712043,xsoft
2.7796957578956167,2.5,3.5901012746892214,2.500353912564725,2.5,2.516987803106814,2.514881250969007,2.5,2.705829812048203,31.84595602957631,2.5,96.35398355330953,53.412877371102546,2.5,122.493790569444,9.258917787114816,2.5,17.582965331217235,-0.18847288605717236,-0.25885363184659294,-0.15246403797493552,xsoft
4.145685977399329,2.5,12.900594234430235,2.7939277706643004,2.5,3.9829309666011126,5.216158533034116,2.5,27.557142382954087,82.03168562759899,2.5,152.58288450769436,77.8014448397468,2.5,158.88604015612935,12.178757798925815,2.5,25.336158725902788,-0.14215073675666792,-0.14871961433062272,-0.13617334053392033,xsoft
2.6633425948324976,2.5,3.152382391863199,2.5132038816810334,2.5,2.699396903683824,2.5,2.5,2.5,72.06604417088032,2.5,158.81496124867377,58.414966135314934,2.5,152.16507678443656,16.08958550265158,2.5,32.29432892723142,-0.18296803344380247,-0.23062985258312485,-0.14713284144406943,xsoft
2.8810217593807965,2.5,4.059965617194344,2.872428115165839,2.5,3.9400714860776285,2.5,2.5,2.5,74.0904470422088,2.5,187.7005486228555,52.085538211096654,2.5,93.26260974355586,15.00894176389118,2.5,26.729426537999263,-0.18396299486412213,-0.23656162818994303,-0.1538738200782736,xsoft
4.10330356671552,2.5,13.676271768645961,2.6406149763152507,2.5,3.57687776876111,9.3234189888951,2.5,61.02712109321192,79.95490245653417,2.5,149.16666666666666,44.56844887171051,2.5,93.44952630045526,13.765692210837235,2.5,28.469843188993337,-0.17852640957286872,-0.23199298223707362,-0.14926175559926275,xsoft
2.742103541742574,2.5,3.2702520290698636,2.5624619669979007,2.5,3.0894932329563938,5.929968398916322,2.5,17.539849717952077,75.37795359815104,2.5,153.0548918328124,46.50028447943905,2.5,101.35655994039074,6.682192903470475,2.5,16.090474826732578,-0.11273506751597073,-0.23868142732904238,0.0,xsoft
3.714267806253658,2.5,12.01333715985703,2.530033862198085,2.5,2.760525276072602,3.4247594909949304,2.5,7.129639843137251,49.109134942362545,2.5,99.0300686237433,51.61167419833265,3.8503691956091957,97.01457568009808,18.230811550141915,3.8501267947510684,27.7584635638639,-0.13227380640879155,-0.20144001412879373,0.0,xsoft
4.517542639476581,2.559620448952811,12.08637778559551,2.526845668700299,2.5,2.903791871761108,2.5,2.5,2.5,23.85969658533062,2.5,87.56559293861962,75.87284389593485,2.5,155.8153828100471,10.554720822711463,2.5,19.328891984305816,-0.17345367759911112,-0.26995710929003935,0.0,xsoft
2.753904380800963,2.5,4.84084169218854,2.720923078961999,2.5,3.472381247688797,11.826277239845751,2.5,55.56249603062216,29.48313036974283,2.5,91.03524087589825,66.7079596866065,2.5,146.2964591440951,23.279137931537623,2.5,41.89599070718316,-0.16957929982325462,-0.22694319421815784,0.0,xsoft
2.628505270731712,2.5,3.079905637092813,3.5965919121511525,2.5,5.231224447623264,19.45499627816275,2.7209713678371603,57.69079614931482,64.99871699061401,2.5,127.8629700855958,51.89977052266992,2.5,135.32776240726352,18.711382272656934,2.5,33.76739334287893,-0.14313425440623195,-0.24340631112718364,0.0,xsoft
2.5957398559042044,2.5,3.1280875144519507,3.2777508810550073,2.5,5.003420641424495,3.3660278769117316,2.5,5.386489907744763,94.02032360080291,2.5,160.19992819506217,73.840582822608,2.5,145.51928737640205,18.177431100839478,2.5,31.285667401297946,-0.16318326678933437,-0.23698815568694925,0.0,xsoft
2.6763749330895115,2.5,3.401598248158825,3.384528954527805,2.5,4.9602381552883825,6.172064856049737,2.5,19.154487013157485,72.55893873052865,2.5,123.72206910941775,71.62081628091919,2.5,129.38277092856285,29.492927324187978,2.5,72.69513226267644,-0.17165250343366759,-0.24251292575272262,0.0,xsoft
2.64346469035051,2.5,3.060855478176016,2.865788136212501,2.5,4.062482705726124,5.844988343116271,2.5,11.916943029365974,63.492867402783695,2.5,103.00959850038738,65.90249946381404,2.5,148.41107956716772,22.735398587287367,3.4892684837635315,33.748397261878594,-0.17705546500680724,-0.22447748537916842,-0.14194935478363818,xsoft
4.188010413920328,2.5,12.158248839690694,2.6761023613873447,2.5,3.0246281790913394,21.316707904325714,2.5,57.045806809070406,40.8994125423605,2.5,87.8459516173268,87.06790969976825,2.5,157.8672679310413,14.437235133158643,2.5,21.08197839713801,-0.1590816432397966,-0.23210502164385646,0.0,xsoft
2.9341266420498493,2.5,3.792847006071575,2.5569363166590544,2.5,2.8326890943404193,16.804847878654883,2.5,56.189068359002924,87.22866479917839,2.5,137.78884346605432,55.10105817274488,2.5,109.20848535581972,10.285881778398279,2.5,17.972111022610477,-0.12484752280628958,-0.27542100686893267,0.0,xsoft
3.876865778088635,2.5,12.08464595296671,2.648620919898978,2.5,3.882278872437623,3.7809917002752917,2.5,11.351416631893619,95.31343405257925,2.5,164.1818075250828,54.43602552494662,2.5,124.1329224260748,15.996385139655363,2.5,28.64260157012441,-0.17155751926372206,-0.2572976708705701,0.0,xsoft
3.0104389484733587,2.5,4.145553637298657,2.5004857077549074,2.5,2.5208854334610233,6.850744034127358,2.5,41.468293279583484,67.51123029394412,2.5,137.3597731092232,80.89810902619934,2.5,150.02600397014058,21.654404634766703,2.5,42.20266455426799,-0.1838536795106164,-0.24355367234132,0.0,xsoft
3.823273685604177,2.5,7.103527974360003,2.5140896049010792,2.5,2.630636838998026,4.305972738324984,2.5,12.141113875493899,79.7802711152531,2.5,134.90207383330235,68.7236039070049,2.5,148.2907406330817,14.902331228315207,3.0057742132838974,23.760613999533756,-0.1513795002037567,-0.23181725185869223,0.0,xsoft
4.086640240446078,2.5,12.08637778559551,2.505706721505094,2.5,2.623003348741315,22.38325124918302,3.6864141788711335,59.68548170590309,97.53405241024684,2.5,135.09516701549063,81.89576713970465,5.471700230401379,136.03650692237014,12.071197825913927,2.5,16.61319179802003,-0.1527758657962261,-0.25585211545316355,0.0,xsoft
3.883293631738579,2.5,11.0803368055579,2.5396142530847112,2.5,2.843133857510761,16.22885672230553,2.5,47.747649632896334,99.87923609395115,2.5,159.32391534687528,56.58746887239247,3.544186673131256,107.40315449384963,16.174202076693497,2.5,26.776107973586676,-0.1383189847649683,-0.23887258631681246,0.0,xsoft
2.73174581173087,2.5,3.3912923686888603,2.586845170968327,2.5,2.7692307091561803,41.11999473488013,3.1328216852967947,71.88177191100995,73.89692723730154,2.5,131.92649536052943,52.393500080428005,2.5,114.1800195456354,16.382826794128377,2.5,25.84835298343499,-0.15352302360840228,-0.24684820288575238,0.0,xsoft
2.6520097818170867,2.5,3.4046609187049177,2.5935468771409895,2.5,3.030849001222681,34.00348596296094,2.5,85.89811781801855,87.63301118622115,2.5,160.2165479523424,52.146581228646426,2.5,130.84548483248383,8.974023859018564,2.5,17.193396777132776,-0.18528092173383418,-0.2544756504531155,-0.13875443323356934,xsoft
2.7294700755792975,2.5,3.3267509870965966,2.601972886448584,2.5,2.9931586375938544,35.90674155344844,2.5,47.770983214114516,62.04813907201901,2.5,126.79172569124164,47.095742661278635,2.5,131.60209781432036,15.208279873330325,2.5,49.0304238863966,-0.1916023503865129,-0.29614781226269843,-0.14198417897457702,xsoft
3.4565269807988876,2.5,6.879397801855636,2.6049926578517475,2.5,3.139091306308026,16.065007733964453,2.5,58.22190605220076,92.35214879559639,2.5,150.5379132719179,74.68603753992892,2.5,154.67329934919036,12.770072197125234,2.5,28.438875034359498,-0.14422852144073428,-0.28504117292274345,0.0,xsoft
3.9995129496848105,2.5,8.647392351085182,2.729753510485034,2.5,3.3657277367664875,30.967843908192947,2.5,84.80251666312125,100.15244066836657,2.5,149.16666666666666,72.62818238122878,7.3982300793224285,124.15460098237831,20.349296008101163,2.5,54.057328530584634,-0.20886230955640545,-0.31761371838985253,-0.15539075601541813,xsoft
3.1391734354393983,2.5,4.5139871786167864,2.5,2.5,2.5,2.5,2.5,2.5,91.4596558123183,2.5,196.56281832034315,20.482392939834963,2.5,60.7836415946237,14.794429637357219,2.5,23.94162886155785,-0.2031722452472735,-0.29478786613566405,0.0,soft
2.8518965699082375,2.5,3.6104540442648347,2.5,2.5,2.5,12.320610951084573,2.5,43.333333333333336,98.05395996126673,2.5,158.84727244478154,45.09661914671158,2.5,98.43122088512132,13.579118065040193,2.5,50.102890475825824,-0.17144270101468267,-0.26140931688740143,-0.1384003715344335,soft
3.3476979049659823,2.5,4.863169889501087,2.5368142876610245,2.5,2.908651008306542,3.6642367016699717,2.5,7.415438652000333,82.54396275015777,2.5,149.16666666666666,30.88881267329201,2.5,63.698169642526985,20.268661671713243,2.5,51.04651082221776,-0.2072331986283959,-0.2913900922703587,-0.15985851293858205,soft
3.10774437957057,2.5,4.364330610122728,2.5,2.5,2.5,2.5,2.5,2.5,51.50399130178407,2.5,127.32184283010184,40.134407724158066,2.5,82.86886717869554,20.456215170070227,2.5,51.58618297525779,-0.1873141579712872,-0.23018790242632656,-0.1612294389019574,soft
3.359923947549387,2.5,4.382958074317144,2.505313853491312,2.5,2.5777908366324835,36.56274163693262,2.5,84.62384630481155,135.7935251224984,2.5,222.5,53.264527670120735,2.5,96.49862540852558,9.833147002924314,2.5,23.07797289758267,-0.18687852174073868,-0.23840016904106492,-0.14658222293962503,soft
3.189209989031679,2.502268260851567,4.2008569276772425,2.5,2.5,2.5,2.856323827520539,2.5,4.897340783734247,83.50415285302823,2.5,149.16666666666666,12.16309995815526,2.5,27.951818860381007,33.327061614300916,2.5,53.87608742515456,-0.1830427336804558,-0.23598626007608087,-0.151692506724134,soft
3.1636633725051766,2.5,4.377742690247968,2.5,2.5,2.5,3.3708532494274257,2.5,8.690150883173606,71.89706094489478,2.5,138.95219962255257,32.97294949261681,2.7584308300366955,73.91691114693178,18.99397276864843,2.8943744992625824,70.48227080307343,-0.20902435218299395,-0.28869042581982035,-0.15453767249292572,soft
3.296200330055633,2.5,4.24835112419817,2.5,2.5,2.5,2.575097166558267,2.5,3.8080397268026687,78.17361775524378,2.5,163.01094096520697,48.0092584680767,2.5,94.10425579061337,42.09608921271399,2.5,104.33210358401466,-0.17501629738234226,-0.343008483977096,0.0,soft
2.924229542561758,2.5,3.7600311142519005,2.5017871986072078,2.5,2.563759367357329,14.022093601660048,2.5,46.419762811349216,35.56492053833578,2.5,118.99367045245704,14.766579207629938,2.5,56.31060116630448,9.982805533371366,2.5,19.891244597706677,-0.13983407094119363,-0.231142537317194,0.0,soft
3.2385851095887888,2.5,4.242643135748483,2.5067030728037913,2.5,2.584806571270061,2.5,2.5,2.5,109.52691131006321,2.5,166.71920738302703,14.101061765872714,2.5,23.27124214059614,30.920959457486372,2.5,65.64184238269634,-0.1398731210695494,-0.26715653024434866,0.0,soft
3.410437314078378,2.5,4.67429726121372,2.521994649759333,2.5,2.707971690463085,2.5,2.5,2.5,32.481926527286866,2.5,87.73672054226684,39.64801340521144,2.5,87.9821803736426,27.593281115853088,7.8515320005905265,66.57518468113649,-0.14470713606580124,-0.2245380693039108,0.0,soft
4.050902736066508,2.5,6.686276019827239,2.5148016382997636,2.5,2.741491311509288,2.5140902112063594,2.5,2.9692928827760574,60.96396948712351,2.5,149.16666666666666,42.85756605963039,4.46167686470455,72.20339709864315,27.844018102640337,6.14540915744669,73.57581741929583,-0.1973537999714164,-0.2632156140927392,-0.16384731396839772,soft
3.6421248985973924,2.849043670491675,4.9352749550150765,2.5841533945996704,2.5,2.8839633862675518,5.01792959764736,2.5,24.821752199341315,86.27494390805565,2.5,158.1133222225667,52.57461208361701,4.247406191106629,90.52998354806563,21.295865343059035,2.5,31.37394764649655,-0.19296951773535678,-0.27075839255650214,-0.15568906635587368,soft
4.134340430752355,2.564537048177289,5.824651621090685,2.6093372598505726,2.5,2.8944081494378944,2.5902827619492133,2.5,6.066948885715152,70.61792000825311,2.5,149.16666666666666,31.853618884823927,2.5,65.04990330450215,20.555008258570535,2.5,32.63444367988536,-0.21672199238880596,-0.2556903005885928,-0.15874689868771208,soft
3.605211044494372,2.564537048177289,5.033414240172721,2.5818866442649964,2.5,2.9409348217421445,2.5,2.5,2.5,35.602503744839055,2.5,91.20814522169904,41.53636275095035,2.5,92.47476382538593,28.913178340828352,2.5,49.82809249117505,-0.18574791077286282,-0.2581182292989914,-0.15166311073458047,soft
4.261879972170867,2.712981505216444,6.300376566206794,2.5009228584111027,2.5,2.516987803106814,2.5,2.5,2.5,93.58310539886075,2.5,147.21453527871827,41.09964426060931,2.5,71.0148072968912,17.2600053634705,2.5,30.24095603400895,0.0,0.0,0.0,soft
7.139784903891633,2.5,13.830008467709002,2.546658952897396,2.5,3.0034773838447775,2.559661391791397,2.5,3.2418408869772857,88.40414408491547,2.5,156.038105933751,47.49517778383628,2.5,100.09485102995903,10.473004926879923,2.5,23.654004683240895,-0.2070103016282365,-0.3060146065219183,-0.14568051818716463,soft
4.3588439409500905,2.803162242666307,7.258546456770993,2.7118368803772834,2.5,3.8750162930410967,2.5076150080737194,2.5,2.7754809686774062,81.04579495615482,2.5,166.98461420828158,52.93909803408863,2.5,91.54115319169769,53.23793790542305,7.876605400615585,141.47073107403722,-0.19228542222681566,-0.23492210078895923,-0.17535865902961853,soft
3.629694863072515,2.5,4.980183962503826,2.509109607269951,2.5,2.678349699771092,2.6295679138683403,2.5,3.7890973797090317,80.06005970247602,2.5,169.90974148148223,18.186672619688437,2.5,89.39378525881035,21.86243441673828,2.5,57.57602539033173,-0.2629481535135401,-0.27643902741736615,-0.23466219293972915,soft
4.381424374615912,2.7120991461222075,7.865798488732467,2.5,2.5,2.5,2.5,2.5,2.5,121.33806163725284,2.5,193.6711753500771,37.89640841378189,2.890815785481861,69.25707480937832,5.570675051895137,2.5,11.558234340796426,-0.19149387077331145,-0.25906795233827773,-0.14869686819540534,soft
7.109818107456018,2.6800397421660045,13.813941770277737,2.5120877481082036,2.5,2.6908221169045627,29.86746614453835,2.5,100.68833922216635,77.50903342761355,5.23767783352065,124.98882747165798,6.39960781632114,2.5,13.307664941163033,22.03308102133835,2.5,64.97262175896115,-0.19512022127069198,-0.2340759128470712,-0.16945070104046409,soft
4.555735565795577,2.5,5.839961191747108,2.5,2.5,2.5,7.310181607687684,2.5,18.118469073393655,87.82530975825823,2.5,158.99822393099547,16.28335345600701,2.5,52.733542849054224,39.892297764637526,2.5,98.43089805482713,-0.19420943919016598,-0.25064539104976735,-0.16469895188903655,soft
4.389019004637643,2.9985685388706593,6.008893312561988,2.534095633090313,2.5,2.7966071852065104,2.5,2.5,2.5,66.58119722667094,2.5,118.15169048243786,42.518800814540256,2.5,87.51938478633633,75.02993390453648,12.477863520595875,139.0965210801882,-0.1945462031657496,-0.25397681764356916,-0.1658797229339658,soft
4.57706404249189,3.3559186898623756,6.111682458139893,2.543180663412616,2.5,2.729018894375817,2.5,2.5,2.5,115.07421684264169,2.5,188.59683183109382,20.310895852676097,2.5,49.10969874627316,17.713352435417836,7.7645794090929,34.53608332326853,-0.19191668306701568,-0.2794544399706258,0.0,soft
5.017660941199199,3.347723121874155,6.701264587248853,2.51179173196169,2.5,2.6650977565667793,4.2405072545379,2.5,14.579235227887898,119.7172437493656,2.5,222.5,40.26596462714449,6.336391703395763,70.88360128159064,25.78659167248574,3.785547739096502,59.19127016062524,-0.1799671477883773,-0.2257141305033714,-0.1453971247818128,soft
5.4858246334780665,2.618695965133624,11.41194591060166,2.5324925163095258,2.5,2.7243417379507653,2.5015684697358616,2.5,2.5846973657365457,73.38742098455926,2.5,122.0670847567099,41.51726439075324,2.5,88.4081789097313,65.29519104825897,3.8125243567910925,137.3422274228653,-0.19677336758136044,-0.28478677611267234,-0.13641331412982188,soft
6.291329585641194,3.3113972947752934,12.144637071413086,2.545395827672941,2.5,2.794036373344445,14.908732792992845,2.5,87.1394927722892,118.97890583038713,2.5,188.8980729138922,46.15994657013743,2.5,91.1332826765215,49.048249035248816,2.5,114.19199046701345,-0.26370796389712753,-0.2925535967963391,-0.22228660957178092,soft
6.836799612624938,3.4675778523888616,14.995210109342233,2.6143145205492537,2.5,3.170325988785507,2.5,2.5,2.5,124.23394648540115,2.5370231537467616,189.40899686794796,53.804373872416264,2.5,92.23040911909078,10.482055282493361,2.5,15.651785012298022,-0.18535344125301695,-0.31043147907705665,0.0,soft
7.346482566277607,3.252006092720149,13.525663962240822,2.5807444579612184,2.5,3.1477197327310913,2.5,2.5,2.5,89.25405426098048,2.5,150.5379132719179,40.69313466430592,2.5,75.08872873741625,61.487574458533715,6.880275092949797,130.226634743893,-0.09421084898396076,-0.28560996894174273,0.0,soft
8.031123700883533,4.9127006988541195,13.743809083012104,2.5870208277066093,2.5,2.9007230486044864,2.5,2.5,2.5,77.81813160597066,2.5,126.58814431631625,48.432525013046735,2.5,91.20881425340599,12.174815546129064,2.5,23.811084459000284,-0.06018299119197973,-0.25662012929909567,0.0,soft
6.241642717241363,3.5255942454536506,13.67389360402086,2.555353636991744,2.5,2.843133857510761,2.5,2.5,2.5,88.70044620869022,2.5,155.40312700077175,34.1568285262198,2.5,60.55745507802617,58.02135335494125,2.5,138.2445017855844,-0.18158183189828006,-0.257312795698576,0.0,soft
5.383625850940795,4.06822995264321,10.476087272179269,2.7264597595252034,2.5,3.52675723657495,29.775377586801582,2.5,72.928353484487,85.76812812170988,2.5,149.8728548201043,24.200000322603337,2.5,55.53871839406086,18.966970041358625,2.5,42.303708699187155,-0.19259728499577355,-0.2789928337828049,0.0,soft
6.500870598928408,2.9803209009342173,12.466930921033113,2.5440512056176026,2.5,2.760525276072602,6.198546473216586,2.5,18.543052321969316,74.6183570602711,2.5,149.16666666666666,41.76468580768824,2.5,71.12134098041784,23.865087964520793,2.5,45.4706092621025,-0.17214628802426898,-0.28143631654119217,0.0,soft
6.024077600076028,3.324094858700134,14.828093705148953,2.5147091954642735,2.5,2.6650977565667793,2.9250282253487265,2.5,7.080419012875993,86.13339822276997,2.5,154.50132188188664,61.95727726658228,2.5,93.52768634040574,26.001671936596495,2.5,60.7106885671158,-0.18616387504272275,-0.25907860712182,-0.13977877019631071,soft
4.822450229401768,2.5,8.290384604122476,2.630584566219116,2.5,2.977016730876053,4.288850404004784,2.5,15.952686311158283,85.42859016438999,2.5,149.16666666666666,55.3415169213862,2.5,91.03257390734221,18.93862476626023,3.1691604605151595,58.14332490297869,-0.12352148778641615,-0.249333031998561,0.0,medium
5.52877312461472,3.4277457019264688,8.934349187785504,2.519511547850548,2.5,2.8374367139633017,2.5,2.5,2.5,81.13959941365275,2.5,160.0666443478049,39.18476022032265,2.5,64.17463351435904,58.312899346072044,9.670267223972866,137.45284192542113,-0.12010400442019828,-0.23771199157119824,0.0,medium
5.122100999958805,2.5,7.835787641043292,2.5039139155387606,2.5,2.5887042016242705,2.5,2.5,2.5,58.79809226625917,2.5,126.15266080020338,67.00110015591294,2.5,126.09932466125342,13.109481215271611,2.5,21.17980260256232,-0.18834686372348797,-0.21457486730632935,-0.1662756661063988,medium
