index_avg,index_min,index_max,thumb_avg,thumb_min,thumb_max,finger_tip_avg,finger_tip_min,finger_tip_max,label
1977.2632850241544,731.1666666666666,2898.8333333333335,2062.0990338164247,740.1666666666666,3012.5833333333335,0.04790897008473073,0.031321223309422275,0.05908674484854371,blue
1837.0919540229886,618.3333333333334,2805.5,1968.1896551724137,825.75,2937.4166666666665,0.04434969543401497,0.028091698073973215,0.05578154408285094,blue
1851.5273224043717,683.0,2704.0,1967.3456284153006,775.9166666666666,2911.6666666666665,0.04744507237827264,0.03375945373850497,0.05812135615902785,blue
1879.9305555555554,724.5,2820.5,1966.0625,910.25,2935.75,0.04556371804945629,0.029011034697181717,0.05647742037192355,blue
1992.997222222222,928.0,2925.5,2046.3111111111111,962.1666666666666,2896.9166666666665,0.046235057428290635,0.03311960671033694,0.05637535049490329,blue
2052.8869047619046,885.8333333333334,2749.6666666666665,2088.8020833333335,939.0,2914.0,0.04742380322781413,0.028104027573614753,0.0580460265920697,blue
2033.7552083333333,778.1666666666666,2755.1666666666665,2108.9947916666665,748.0833333333334,2938.5833333333335,0.0448877256738405,0.026367570522221793,0.05670698883662813,blue
1989.891812865497,919.8333333333334,2869.5,2098.502923976608,1135.0,2984.5833333333335,0.046082786152831026,0.031440393746995005,0.05905226852528186,blue
1778.0151515151513,545.3333333333334,2814.1666666666665,1910.6944444444446,934.75,2936.5,0.04381620662180552,0.028594170949802936,0.05893573357112415,blue
2039.7261904761906,779.6666666666666,2936.0,2131.4666666666667,997.5,2956.75,0.04708429368876412,0.020025494300088643,0.06207585013875667,blue
1805.419191919192,570.1666666666666,2801.5,2181.0441919191917,961.9166666666666,2979.5,0.03557362680752853,0.014468244273381687,0.05101428271051503,green
1992.2385057471263,622.3333333333334,2869.6666666666665,2272.8548850574716,875.75,3019.0833333333335,0.041105842506406955,0.015804410854767494,0.05377105381656297,green
1921.244252873563,494.0,2745.6666666666665,2231.7887931034484,773.25,3037.0833333333335,0.03974623732517649,0.013182189133453162,0.05177546432279247,green
1744.2952380952381,513.8333333333334,2723.5,2272.4857142857145,1151.1666666666667,2980.6666666666665,0.03915340579404001,0.02127926266439734,0.052932546700498455,green
2143.1327160493825,717.0,2885.0,2366.770061728395,916.4166666666666,3024.8333333333335,0.04304104741447993,0.02280568015493731,0.05183143286605041,green
1909.3607305936075,573.8333333333334,2863.5,2166.3333333333335,805.6666666666666,3008.5833333333335,0.03404575523622237,0.006842531334745122,0.046740601541664276,green
1883.9505208333335,542.8333333333334,2808.3333333333335,2255.9908854166665,992.0833333333334,2982.25,0.036249100368906384,0.01593829231449227,0.048417590984155635,green
1833.2885572139303,657.1666666666666,2786.8333333333335,2044.794776119403,759.0833333333334,2964.5,0.03413270147325374,0.017414331515134763,0.04659037609753842,green
1541.5044444444443,383.5,2733.6666666666665,1761.6955555555558,708.5,2966.3333333333335,0.031016163813734263,0.009478902876570064,0.050105630951197445,green
1700.8161764705883,391.6666666666667,2747.8333333333335,2152.621323529412,1074.9166666666667,3035.8333333333335,0.03723401163423701,0.015000650283902297,0.05099705463038666,green
1992.0432098765432,453.1666666666667,3025.5,2339.645061728395,1034.0833333333333,3064.0,0.03285839834336014,0.01136442958157135,0.0525022304539149,purple
1995.7366255144032,551.5,2985.6666666666665,2306.7397119341563,967.0833333333334,3072.0,0.03313850994048434,0.008378525791761838,0.060442007405715294,purple
2200.586854460094,557.3333333333334,3036.6666666666665,2563.681924882629,1313.3333333333333,3072.0,0.036744835304595276,0.011981230071226171,0.04694876511730679,purple
2278.5093896713615,629.0,3043.3333333333335,2670.31690140845,1492.4166666666667,3072.0,0.04240790542699152,0.014901366369988076,0.05933132156924376,purple
2071.531835205992,648.0,3068.8333333333335,2513.9353932584268,1392.9166666666667,3072.0,0.04048187301528674,0.02498447142012858,0.05221199489420153,purple
2136.531353135313,546.1666666666666,3045.8333333333335,2665.6625412541257,1612.1666666666667,3072.0,0.04387814372567594,0.016618391339182043,0.05667861016703139,purple
2092.5307017543855,521.5,3033.5,2541.502192982456,1348.5833333333333,3072.0,0.03555023157576929,0.010336838151451432,0.048888778927351426,purple
1983.0761904761903,457.6666666666667,3009.6666666666665,2301.0249999999996,973.1666666666666,3057.5,0.034459876140314795,0.010302444652875808,0.04982095223918813,purple
2127.204954954955,567.3333333333334,3041.5,2498.266891891892,1121.5,3071.0833333333335,0.036085297993458984,0.015831938834103526,0.04790843449814601,purple
1915.0854166666663,556.1666666666666,2986.1666666666665,2206.2177083333336,978.8333333333334,3058.5,0.03528327155412042,0.015253485803661627,0.049872727306091706,purple
