Pressure_Pa,ADC_Reading
2.5,2708.502040583813
7.5,2566.8653136382236
12.5,2459.633274169922
17.5,2361.5981501398846
22.5,2259.4887018753307
27.5,2165.1843873303337
32.5,2066.576713579963
37.5,1977.9663007344284
42.5,1896.120715332031
47.5,1812.9764343261722
52.5,1745.4562140969672
57.5,1682.479309336345
62.5,1610.8964947509767
67.5,1552.4821612548826
72.5,1492.3751827663846
77.5,1442.8946676199776
82.5,1381.0714005008822
87.5,1349.3276201520646
92.5,1295.8952370779857
97.5,1257.616666823167
102.5,1221.5394212805709
107.5,1187.7105575561523
112.5,1141.9136547270277
117.5,1128.3863403320313
122.5,1085.0456646728514
127.5,1070.50666216682
132.5,1046.2814802381731
137.5,1020.3774078369144
142.5,994.4666707356772
147.5,980.6116691589356
152.5,961.068572126116
157.5,932.6623844691686
162.5,926.1823843819755
167.5,911.9964120718151
172.5,896.7103043989704
177.5,882.869445292155
182.5,872.0033330281575
187.5,850.705335083008
192.5,845.1540026855467
197.5,824.9044467502172
202.5,821.719394753196
207.5,812.7853320312502
212.5,809.2088867187503
217.5,799.7222213745117
222.5,798.2925003051758
227.5,790.1922261555991
232.5,786.1111145019531
237.5,789.2555575900609
242.5,790.4044474283854
247.5,817.3145858764648
