Pressure_Pa,ADC_Reading
2.5,2754.9685148993462
7.5,2479.787633572379
12.5,2187.626893011129
17.5,1955.9017152847787
22.5,1719.9063643292684
27.5,1577.7703283691405
32.5,1395.2587209302326
37.5,1283.030592659728
42.5,1189.9504877427044
47.5,1091.0318973935885
52.5,1031.4907397234883
57.5,971.8209186959773
62.5,942.1992906935669
67.5,892.8763172350432
72.5,863.1414642333987
77.5,828.3401986514822
82.5,710.0712090694543
87.5,662.9520798683168
92.5,635.2779750279017
97.5,581.5121794480546
102.5,581.8282019981972
107.5,528.4037022343389
112.5,508.0524990844726
117.5,451.90624965031947
122.5,401.9817457653227
127.5,382.0798261140522
132.5,360.9280707911441
137.5,338.18333379957414
142.5,300.46491149099245
147.5,302.61960747662715
152.5,281.243138032801
157.5,257.23690575190955
162.5,241.3166683451335
167.5,208.51555645624794
172.5,219.4033347098033
177.5,207.2541675607363
182.5,202.91923118371227
187.5,187.12361085017525
192.5,180.4166665395101
197.5,189.6233337402344
202.5,157.3472225546837
207.5,158.91969708962876
212.5,165.02666617393493
217.5,133.919999781847
222.5,157.26818143454466
227.5,107.74629639254675
232.5,138.8666671845648
237.5,105.21111184159913
242.5,101.08541769087314
247.5,86.35092693037457
