Pressure_Pa,ADC_Reading
2.5,3035.553210405465
7.5,2962.828365610881
12.5,2777.753573594464
17.5,2501.6230809182102
22.5,2207.5708754652132
27.5,1968.0842935415424
32.5,1733.331012672602
37.5,1519.305481920744
42.5,1328.5676713423293
47.5,1163.0739730031864
52.5,1038.79444807464
57.5,941.3038981985537
62.5,824.2321387154715
67.5,739.6756380521334
72.5,651.9680556403267
77.5,611.8984860506926
82.5,550.388022994995
87.5,498.02857453482477
92.5,455.950619732892
97.5,405.43333437884297
102.5,378.61269919985824
107.5,342.2253629933233
112.5,312.02499851226804
117.5,280.59772619767625
122.5,253.98491890316922
127.5,243.36353859901433
132.5,227.19444219801161
137.5,222.88958110809327
142.5,183.44270782470704
147.5,183.80312529802322
152.5,159.3395844578743
157.5,167.8805566628774
162.5,138.17083382606504
167.5,144.14305561383566
172.5,124.40416709979377
177.5,114.45972280104955
182.5,113.5777780652046
187.5,92.85833350658417
192.5,106.35972234408062
197.5,94.68000006675723
202.5,79.26666694217258
207.5,74.73000023841857
212.5,83.55740745729871
217.5,69.07777791288164
222.5,73.53333281675975
227.5,55.50454521829434
232.5,56.29583298712969
237.5,51.048147887653776
242.5,51.697916498780266
247.5,42.056862721723675
