Pressure_Pa,ADC_Reading
2.5,1950.7417278170417
7.5,1753.9790956896998
12.5,1520.082816041936
17.5,1382.614839569509
22.5,1285.7931630713313
27.5,1076.7355674507687
32.5,1031.824388680807
37.5,947.653054723605
42.5,722.196176272533
47.5,602.025594820295
52.5,552.6297386019837
57.5,490.4211120266384
62.5,422.2130085456662
67.5,336.29279327392567
72.5,299.3265775010392
77.5,238.18020855188374
82.5,187.47135472893717
87.5,157.5351191529206
92.5,137.6450612779017
97.5,128.16358014830834
102.5,120.0763890852531
107.5,115.9780305504799
112.5,96.2174605505807
117.5,91.2283331102133
122.5,68.79416652202607
127.5,61.42222194141813
132.5,47.03055549197726
137.5,50.07395823001861
142.5,35.68240725596747
147.5,52.532291521131995
152.5,38.35641024846298
157.5,24.27812497764826
162.5,15.580952426365444
167.5,16.90714287076678
172.5,17.312500031789146
177.5,12.265151544050736
182.5,10.473611148198446
187.5,13.634722280502322
192.5,2.5833333439297146
197.5,6.039393923499367
202.5,1.6958333253860476
207.5,3.731818168813532
212.5,0.0
217.5,2.0097222328186035
222.5,0.0
227.5,1.8333333587646485
232.5,1.8895833492279055
237.5,0.0
242.5,1.3759259329901803
247.5,1.1760416626930237
