index_avg,index_min,index_max,thumb_avg,thumb_min,thumb_max,finger_tip_avg,finger_tip_min,finger_tip_max,label
2314.730392156863,1100.3333333333333,3056.8333333333335,2681.357843137255,1892.8333333333333,3054.75,0.048749292225106655,0.024453036509602732,0.06438655359972192,green
2337.3564814814818,918.1666666666666,3009.5,2652.409722222222,1657.0,3066.4166666666665,0.04840861515816508,0.023393402059646545,0.0594001076376303,green
2327.9904761904763,1136.5,2944.1666666666665,2631.533333333333,1598.3333333333333,3066.1666666666665,0.04601234109709826,0.0300789174519703,0.053339488152769635,green
2312.726190476191,1154.3333333333333,2994.6666666666665,2535.94880952381,1463.4166666666667,3068.0,0.04509652031876832,0.027208443878377116,0.05433980838906668,green
2355.4820512820515,1182.0,2964.3333333333335,2590.825641025641,1527.1666666666667,3072.0,0.04903822409641749,0.03173011907817898,0.05674059946716312,green
2067.7253787878785,976.5,3016.0,2294.6676136363635,1329.25,3072.0,0.043778591366486215,0.026564579280039014,0.058450386797360754,green
2421.155737704918,1120.1666666666667,2932.1666666666665,2602.8989071038254,1365.4166666666667,3072.0,0.04856835259621901,0.03142234030455609,0.05749516406714006,green
2252.603864734299,958.3333333333334,2844.6666666666665,2467.67270531401,1318.75,3063.25,0.047157353899273856,0.027032168576925336,0.05819978296947783,green
1998.782700421941,761.1666666666666,2899.1666666666665,2262.957805907173,1239.5833333333333,3061.4166666666665,0.04900129411379918,0.03298643227430146,0.06365820343496807,green
2189.7560386473433,809.0,2899.0,2438.9806763285023,1288.75,3059.25,0.05019806698022511,0.03446532649909255,0.05809940559276987,green
2445.3949275362315,1193.8333333333333,2900.6666666666665,2641.7989130434785,1349.5,3072.0,0.05212032478050236,0.03531270104764348,0.059256234023736115,green
2284.09477124183,953.6666666666666,2866.5,2501.3839869281046,1226.0,3072.0,0.05062450412949093,0.03571660385726159,0.05916844513903944,green
2242.532258064516,1199.3333333333333,2973.5,2489.5241935483873,1527.9166666666667,3072.0,0.05248032101936997,0.031124571636582134,0.06448018531738729,green
2413.487878787879,1196.0,3037.1666666666665,2478.663636363636,1490.8333333333333,3072.0,0.0536741108280254,0.04228638270179979,0.059678568396216984,green
2361.701612903226,1138.0,2990.5,2507.0228494623652,1481.5833333333333,3072.0,0.04983529662552542,0.033999129490191765,0.05961346886846783,green
2327.1722222222224,955.1666666666666,2975.6666666666665,2505.2555555555564,1494.25,3065.0,0.05180133200641492,0.03274783685442282,0.06075948829233709,green
2018.647058823529,863.1666666666666,2785.1666666666665,2351.764705882353,1333.5,3027.6666666666665,0.051507438384115305,0.03242809755177793,0.05935402484811355,green
2024.669934640523,892.5,2903.1666666666665,2358.673202614379,1258.0,3015.0,0.048863149518951515,0.022971523518358693,0.05939598247098292,green
2134.6296296296296,854.1666666666666,2788.1666666666665,2402.851851851852,1190.0,2949.1666666666665,0.052773807562928675,0.03495414080776931,0.061300694706522954,green
2026.9259259259259,900.5,2766.3333333333335,2338.3842592592596,1249.5833333333333,2984.5833333333335,0.050949528059295694,0.03172679765822329,0.06318003364483556,green
2115.5094339622638,842.3333333333334,2990.8333333333335,2312.5911949685533,1215.5833333333333,2974.3333333333335,0.049593624654456776,0.030741816640413807,0.059274738755558005,green
2133.0925925925926,794.8333333333334,2774.3333333333335,2357.5169753086425,1239.25,3011.0,0.04911522240045835,0.034355028178230676,0.05913138117625358,green
2052.535087719298,731.5,2799.5,2321.09649122807,1175.1666666666667,3003.1666666666665,0.051081867789799396,0.03684800180568112,0.06013693813957492,green
